word,class,level,meaning,full_sentence,category
hook,noun,b2,"cái móc, lưỡi câu",She hung her coat on the hook behind the door.,Daily Life
hook,verb,c1,"móc vào, câu",He managed to hook the fish after a long struggle.,Action
hope,noun,a2,"hy vọng, niềm hy vọng",There is always hope for a better future.,Emotions
hope,verb,a1,"hy vọng, mong đợi",I hope you have a wonderful day.,Emotions
hopeful,adjective,c1,"đầy hy vọng, lạc quan",She felt hopeful about the future after receiving good news.,Feelings & States
hopefully,adverb,b2,"hy vọng là, mong rằng","Hopefully, the weather will be good for our picnic tomorrow.",Daily Life
horizon,noun,c1,đường chân trời,"The sun dipped below the horizon, painting the sky with vibrant colors.",Environment
horn,noun,c1,"còi (xe), sừng (động vật)",The driver honked the horn to warn the pedestrian.,Travel
horrible,adjective,b1,"kinh khủng, khủng khiếp, tồi tệ","The weather was absolutely horrible, so we stayed indoors all day.",Environment
horror,noun,b1,"sự kinh hoàng, nỗi khiếp sợ","The movie was a true horror, making everyone jump in their seats.",Feelings & States
horse,noun,a1,con ngựa,She loves riding her horse through the fields every morning.,Nature & Wildlife
hospital,noun,a1,bệnh viện,"After the accident, he was rushed to the nearest hospital.",Medical & Treatment
host,noun,b1,"chủ nhà, người dẫn chương trình",The host welcomed all the guests warmly to the party.,Family
host,verb,b2,"tổ chức, đăng cai (một sự kiện); tiếp đón (khách)",The city will host the international conference next year.,General
hostage,noun,c1,con tin,The police negotiated for the release of the hostages.,Society & Law
hostile,adjective,c1,"thù địch, không thân thiện",The crowd became hostile when the speaker made controversial remarks.,Feelings & States
hostility,noun,c1,"sự thù địch, thái độ không thân thiện",There was open hostility between the two rival teams.,Society
hot,adjective,a1,nóng,"Be careful, the plate is very hot.",Weather & Climate
hotel,noun,a1,khách sạn,We stayed in a comfortable hotel during our trip.,Places & Directions
hour,noun,a1,"giờ, tiếng đồng hồ",The class lasts for one hour.,Duration & Frequency
house,noun,a1,"nhà, căn nhà",They live in a small house near the park.,Home & Housing
house,verb,b2,"chứa đựng, làm nơi ở cho",The new building will house the company's entire research department.,Professions
household,noun,b2,hộ gia đình,The average household income has increased this year.,Finance
housing,noun,b2,"nhà ở, chỗ ở",The government is investing in new affordable housing projects.,Travel
how,adverb,a1,"thế nào, bằng cách nào",How do you usually get to work?,Daily Life
however,adverb,a1,"tuy nhiên, dù sao đi nữa","The weather was terrible; however, we still managed to have a good time.",Grammar
huge,adjective,a2,"khổng lồ, rất lớn",They built a huge new stadium for the upcoming sports event.,General
human,adjective,a2,thuộc về con người,The human brain is capable of incredible things.,Science
human,noun,a2,"con người, người",A human needs food and water to survive.,Science
humanitarian,adjective,c1,nhân đạo (liên quan đến việc giúp đỡ con người),The organization provides humanitarian aid to war-torn regions.,People
humanity,noun,c1,"nhân loại, loài người; lòng nhân đạo",We must work together for the good of all humanity.,Society
humble,adjective,c1,"khiêm tốn, nhún nhường","Despite his great success, he remained a humble person.",People
humorous,adjective,b2,"hài hước, khôi hài",She told a humorous story that made everyone laugh.,Arts & Music
humour,noun,b2,"sự hài hước, khiếu hài hước",Her sense of humour always brightens up the room.,People
hundred,number,a1,một trăm,There are one hundred pages in this book.,Science
hunger,noun,b2,"sự đói, nạn đói",The charity aims to fight global hunger.,People
hungry,adjective,a1,đói bụng,I'm really hungry; let's get some food.,Body & Fitness
hunt,noun,b2,"cuộc săn, sự săn bắn",The fox was successful in its hunt for prey.,General
hunt,verb,b1,"săn bắn, tìm kiếm",Lions often hunt in groups to catch their prey.,General
hunting,noun,b2,"sự săn bắn, cuộc đi săn",Hunting is a controversial sport in many parts of the world.,Sports
hurricane,noun,b1,"bão lớn, cuồng phong",The hurricane caused widespread damage along the coast.,Weather & Climate
hurry,noun,b1,"sự vội vàng, sự gấp rút",There's no need to be in a hurry; we have plenty of time.,Time
hurry,verb,b1,"vội vàng, gấp rút","Please hurry, or we'll miss the train.",General
hurt,adjective,a2,"bị thương, đau đớn",My leg is still hurt from the fall yesterday.,Health
hurt,noun,b2,"sự đau đớn, vết thương",The emotional hurt from the breakup took a long time to heal.,Feelings & States
hurt,verb,a2,"làm đau, gây tổn thương",Be careful not to hurt yourself with that knife.,General
husband,noun,a1,chồng,Her husband brought her flowers for their anniversary.,Family
hydrogen,noun,c1,hiđrô (nguyên tố hóa học),Water is composed of two hydrogen atoms and one oxygen atom.,Biology & Chemistry
hypothesis,noun,b2,giả thuyết (một lời giải thích có thể được kiểm chứng),The scientist formed a hypothesis about why the plants were dying.,Science
I,pronoun,a1,"tôi, mình (đại từ nhân xưng ngôi thứ nhất số ít)",I am going to the store later today.,Daily Life
ice,noun,a1,"băng, nước đá (nước ở thể rắn)",Please put some ice in my drink.,Food & Drink
ice cream,noun,a1,"kem (món tráng miệng đông lạnh làm từ sữa, đường)",My favorite dessert is chocolate ice cream.,Food & Drink
icon,noun,b2,"biểu tượng, hình tượng (một hình ảnh đại diện cho một ứng dụng hoặc một người nổi tiếng)",Click on the printer icon to print the document.,Technology
ID,noun,b2,"Thẻ căn cước, giấy tờ tùy thân (viết tắt của identification)",Please show your ID at the security desk.,General
idea,noun,a1,"Ý tưởng, ý kiến",I have a great idea for our next project.,Emotions
ideal,adjective,a2,"Lý tưởng, hoàn hảo",This is the ideal location for a picnic.,General
ideal,noun,b2,Lý tưởng (một mục tiêu hoặc nguyên tắc hoàn hảo),He always strives to live up to his ideals.,General
identical,adjective,b2,"Giống hệt nhau, y hệt",The twins wore identical outfits to the party.,General
identification,noun,c1,"sự nhận dạng, sự nhận biết; giấy tờ tùy thân","Please present a form of identification, such as a passport or driver's license, at the security desk.",Daily Life
identify,verb,a2,"nhận dạng, nhận biết; xác định",Can you identify the person who stole your bag from the security footage?,General
identity,noun,b1,"danh tính, bản sắc; đặc tính",The witness asked to remain anonymous to protect their identity.,Personal & Social
ideological,adjective,c1,(thuộc) hệ tư tưởng,The two political parties have deep ideological differences on economic policy.,Politics & Law
ideology,noun,c1,hệ tư tưởng,Communism is a political and economic ideology that advocates for a classless society.,Government & Politics
idiot,noun,c1,"kẻ ngốc, thằng ngốc",Only an idiot would forget their passport on an international trip.,Society
if,conjunction,a1,"nếu, nếu mà",We will go to the park if the weather is good tomorrow.,Grammar
ignorance,noun,c1,"sự thiếu hiểu biết, sự dốt nát",His ignorance of the local customs caused some embarrassment.,Society
ignore,verb,b1,"phớt lờ, bỏ qua",Please don't ignore my calls; it's important.,Communication
ill,adjective,a2,"ốm, bệnh, không khỏe",She felt too ill to go to work today.,Health
illegal,adjective,b1,"bất hợp pháp, trái phép",It is illegal to drive without a valid license.,Crime & Justice
illness,noun,a2,"bệnh tật, sự ốm yếu",She had a long illness that kept her out of school for weeks.,Health
illusion,noun,b2,"ảo ảnh, ảo giác",The magician created an illusion that made the rabbit disappear.,Arts & Music
illustrate,verb,b2,"minh họa, làm rõ",The teacher used examples to illustrate her point.,General
illustration,noun,b2,"hình minh họa, sự minh họa",The book contained many beautiful illustrations.,Visual Arts
image,noun,a2,"hình ảnh, bức ảnh",The image on the screen was very clear.,Visual Arts
imagery,noun,c1,"hình tượng, hình ảnh (trong văn học, nghệ thuật)",The poet used vivid imagery to describe the sunset.,Grammar
imaginary,adjective,b1,"tưởng tượng, không có thật",My little brother has an imaginary friend named Bob.,General
imagination,noun,b2,"sự tưởng tượng, trí tưởng tượng",Children often have a very active imagination.,Emotions
imagine,verb,a1,"tưởng tượng, hình dung",Can you imagine a world without smartphones?,Emotions
immediate,adjective,b1,"ngay lập tức, tức thì, trực tiếp",The immediate cause of the accident was a sudden brake failure.,General
immediately,adverb,a2,"ngay lập tức, tức thì",Please call me back immediately if you hear any news.,Communication
immense,adjective,c1,"bao la, rộng lớn, mênh mông, khổng lồ",The project required an immense amount of effort and resources.,Description
immigrant,noun,b1,người nhập cư,Many immigrants come to this country seeking better opportunities.,Society & Community
immigration,noun,b2,"sự nhập cư, di trú",The government is discussing new policies regarding immigration.,Politics & Law
imminent,adjective,c1,"Sắp xảy ra, gần kề.",The dark clouds indicated that a storm was imminent.,Environment
immune,adjective,b2,Miễn dịch; được miễn (khỏi cái gì đó).,"After getting the vaccine, she was immune to the virus.",Medical & Treatment
impact,noun,b1,"Tác động, ảnh hưởng; sự va chạm.",The new policy will have a significant impact on the economy.,Finance
impact,verb,b1,"Tác động, ảnh hưởng; va chạm mạnh.",The rising sea levels will directly impact coastal communities.,Environment
impatient,adjective,b2,"Thiếu kiên nhẫn, sốt ruột.","He grew impatient waiting for the bus, which was running late.",Character & Personality
implement,verb,b2,"thực hiện, thi hành",The government decided to implement new policies to boost the economy.,Politics & Law
implementation,noun,c1,"sự thực hiện, sự thi hành",The successful implementation of the software took several months.,Technology
implication,noun,b2,"hàm ý, sự ngụ ý; hệ quả",The new law has serious implications for environmental protection.,Politics & Law
imply,verb,b2,"ngụ ý, ám chỉ",His tone of voice seemed to imply that he was not happy with the decision.,Communication
import,noun,b1,hàng nhập khẩu; sự nhập khẩu,Oil is a major import for many industrialized nations.,Economics & Trade
import,verb,b1,nhập khẩu,Many countries import oil from the Middle East.,Economics & Trade
